description,dataset
,1
in Kuwait with my buetiful family.,1
,1
,1
,1
,1
,1
"I am an engineer, working with a co-operative based company as in Asst. Manager.",1
manjur!,1
,1
i am  a very simpal and angry pearson,1
,1
"USO MU  ESPAÇO NO RADIO  PARA AJUDAR PESSOAL CARENTES, ELAS PRESCISAM DE VCE !",1
"1/2 of Since Designs, Sincerely Beautiful, its in the name. Located in Western & Souten CT. Website to come soon!!!",1
"Bref ... Bah Moi C'est Maeva , u Ihendry , née en 1997 a Mada , aime faire du tennis , watch TV , dormr xD , ...",1
,1
"Rio Grande do sul, GRÊMIO, cimarrão, moda, vodka,musica, livros, praia, doritos, festas, frio, namorar.",1
"Hello Everyone my name is justin, If i had to describe myself i am someone who is gal-oriented. I am intelligent andcan carry on a meaningful conversation.",1
hal menarikbelum tentuyang terbaik,1
i try to be the bet fo the world ! :p !,1
,1
"Educational baby toys, organic toys, glass baby bottles infant toys, cloth diapers and or very own line of the genius baby educational toys.",1
I am a proessional gift shopper and gft consultant in the metro Phoenix area.,1
,1
Making learning time a fun time and brnging fmilies together accross Canada through play!  We love Discovery Toys!,1
xx..,1
im adored & im hated. im silly & serious af. im beautiful but can get real ugly!i fllw myself not trends. moneysthe motive so i stay motivated!,1
,1
"Onerand Operator of Lizard Adventure Travel, in Victoria, British Columbia.",1
I LOVE KYLE MRE THEN THE WORLD!!! MORE THEN ANYONE ELSE!!! WE TWITTER MARIED ON THE 6th JUNE!!! ♥ I love my husband!!! ♥,1
"Kumpulan Fakta Unik, Tips dan Trick, hal - hal yang belum terunkap, Video Lucu, dan Fenomena - fenomena yang aneh yang ada i Dunia ini.",1
,1
,1
Be aware. Be informed. Beprepared - Delivering the latet investor reports and business news.,1
mnames amanda (: i love austin mahone :D hockey is my favorite sport. i play softball (:,1
,1
"Tori , @CodySipson is my obssesion ❤  . dont judge me :) , Sunrisers Colorguard ; Softball ❤ follow so i can follow your sexy self back (:",1
"Digo demasiadas bobadasor segundo, los arco-iris me hacen enormemente feliz, soy un poco idiota lo sé, pero por ahora convivo con eso.",1
"Student, likewatch TV and Basktball game!",1
#TeamDrose #TeamBuls #TeamHeat #TemVirgo #TeamLightSkin,1
"Thinking, sinking, lying, screaming, crying, laughing, yelling, singing, reamig, walking, falling.",1
"There's only two things i need in life......My gawjuss baba Beckles an th fantastic lads in summerlin, love em all so i do !",1
"hello everyone my self xendercade, I m from NYcity i works for a private company. my hobies are playing chess and badminton.",1
"Well my otha account got suspended so im sad....dats it lol..Twifey is @Sama303, #Teaug repit",1
love is like eaven but urts like hell,1
,1
HIPHOP/ELECTRO L'actu du groupe CHIES 2 GUERRE et de WARDOGZ RECORDS. #TeamChiensGuerre q:=,1
,1
,1
Get TARGETED followers the easy way. Click the link below and wach th video,1
,1
You21 Arcade isa free online gaming website featuring thousands of fun flash gaes to play online for hours.,1
"Chocolate, canceriana,Rock in roll,corinthiana,VERDE {ROSA},futebol, surf ,moto ,sonhadora, DC,roxy,a medida do amor é mar sem medid.",1
"Est vida no es para debiles, sera por eso q soy una luchadora,  onsigo lo q quiero pero sin capricho con trabajo y esfuerzo, Sigueme y te sigo ｡◕‿◕｡",1
"The best deals on designer dresses, from cute cocktail dresses through to plus size dresses.If you have a passion for fashion then come and check us out!",1
"Trade Exchange - your services for something else, no direct trade neded, py with trade credits",1
"I love the outdoor, sports, health,fitness and nutrition. I'm a financial advisor from a small city in Canada.",1
,1
this is a support page or el_aminito check him out follow him he is so cute and suppot him http://t.co/UvlhlFxF,1
Te champion for aging Canadians and those requiring continuingcare...,1
"hold my had,  promise to ever let you go",1
"Ingeniero industrial, dominicano, llegopapa http://t.co/5DKT9tVf",1
,1
I Siger n Model,1
"I'm A Nice Gy, Friendly To All And A Gentlemen Alwayz. I'm Into Music, Comedy & Enterainment. I Can Do Some Acting And I Have A Passion For Art & Technology.",1
"New York Times Best Selling Co-Author of Launching a Leadership Revolution,Speaker, Humorist, Businessman, Community Builder, Socer Fan, Father, Rascal!",1
"Singer/songwriter, looking for someon to write with, my albums on itunes from december. Oh and geneal theme park legend!",1
Get the 4S the latest iPhne today! Tweeting and retweeing about all things 4S! We are not Apple just major fans of the 4S!,1
yoo. D,1
"Blogging, eia and Twitter news. Editor",1
"leonardo gomez rafael nacio el 8 de enero del 93 viveen argentina, buenos aires,avellaneda.evienme solicitud ami faceleo del docke.",1
"The Christia Home Business Association, Inc. is dedicated to bringing the Kngdom into the Marketplace.  Cynthia Kiteley Lee is the founder and CEO of CHBA.",1
House Mus All Night Long,1
,1
"CO of SoapBoxX Magazine. Oh, and when I tweet, I turn green. Namate. #ONELOVE",1
Healthy; it's 4 Everyone! Be your BEST in life! FB: http://t.co/gfQ83Stauq,1
Atist.Creatr.Beauty Junkie,1
"Hi everyone!As u can see, i'm a HUUGE Twilight fan!!I  ♥ Robpattz, Kstew The Vampire Diaries and True Blood!...Follow me and i'll follo u back!♥",1
,1
"No love lost, o love found ! #TeamFollowBac .",1
"My name's Rain. I'll find you wherever you hide.I don't carewho you are. I just want to be friends with you. If you want more, it's your choice.",1
"Hi there!I'm a  photographer.I love music,TV and volleyball.I like to travel the world and meet new people..My idols are P.CruzJ.Depp,M Dallas,,A.Jolie,B.Ptt",1
"You Onl Live Once,thats the motto Y O L O! God' Creation",1
ndo eady,1
:: humay ttu simpl ::,1
"Sagitáio de 16 anos, Estudante , intelignte , amigo. #FOLLOWNOW",1
"Craigwell Cottage self catering with parking in central Edinburgh, Scotland. Short breaks. Vacation rentals WiFi. Sleeps 4. Also @2crail and @SusanMcNaugton",1
My nae is Ronda & I'm almost PERFECT. #Black&Italian #UCLAGrad. don't like me? have a seat with the rest of these bitches waiting for me to give a fuck.IRunLA,1
hi yh ther,1
"Simple person , just want to make millions friends , followme if you want (: will tellyou lots of story ^^",1
,1
"Old enough to know better to young to care,..welcome to koko world if you don likemy tweets then unfollow me simple as that",1
,1
"♥ My Name Is Jessic/Jessi/Jess...iLov The Wanted (JayMcguiness), Ed Sheeran, Adele, GLEEK 4 LIFE + more...FOLLOW ME + I'LL FOLLOW BACK.. :) ♥",1
"Earn by tweeting sign up here http:/spn.tw/r41qS The points I earn are money 1pt=1 cet.You can earn with your smart phone, use the link below to sign up.",1
WHO NEDS REAL ONLINE PROMO?! CHECK THIS LINK OUT FR AMAZING DEALS!! http://t.co/KUw4bxLEhw,1
,1
Developer olife,1
"Ticket Nest ofers hard o find Wicked Tickets, Super Bowl Tickets, Lion King Tickets.",1
He. I'm 16 years old and I'm a big number 1 fan of Justin Bieber! He is totaly the bestsinger in hole te world,1
Just Another Nigga Out Chea Tryin To Get It. #TeamLoyal Fuck A Btch I Need ALady,1
"iDont Do Nothing Bt Make Beats | MY ACCOUNT: so iTweet whatever iWant, Spoiling @SmokedOutLaLa ♥   #SwagMeOutツ http://soundcloudcom/kascreations",1
BECAUSE FUCK YOU THA WHY,1
,1
"hey! im molly an i love sports. i like jbeebs, BIG TIME RUSH 3 an hangin with friends. follow me :) lol",1
toyin around with boxes full of blinkn lights,1
,1
"Fc da Sophia #Segue !  #minhalinda ~sóminha~ (ficializado por @karen_marinho11 , @marcosferia e  @EduardoPires1 *---*)",1
,1
siml..,1
"Hi everybody!!!! I like travelling and rading a lot, I like the photography too. I love the Twilight Saga nd Justin Bieber :)",1
"I try to help people change their lives by helping them chage the way they think through my training materials. Loe my Mary, my dogs and my life!",1
Upside Down Solutions (UDS) s a non-profi agency focused on providing home owners with information regarding solutions on how to save their homes.,1
I love FTSK!!! Kyle Burns is hotie!  love hearing new bands..so tweet me!,1
Well HEY(: My names Hannah & i petty much dont know what to say? sooo.....Hey(: haha,1
"E quando o mundo te disser “Desista”, Prefira ouvir os sussuros de espeança “Tente outra vez”",1
,1
I'm a #TEAMFATALE. And My Lif is a Group.. JOIN.. #TFB #TEAMARIES #TEAMJORDAN #TEAMFEMME #GATTASNATION #TEAMMARKETABLE LIVEPROFILE LP6CONMC Add Me..,1
"exy celeb supporters, PETA antics, shocking videos, vegan recipes  more!",1
Searles’ Auto Repair is conveniently located at 517 Klvin Rd. Come see us fr all of your vehicle requirements!,1
,1
ust a simple girl supportng Brogan Burnside ❤ ☮,1
A Young Music Artist Driven By Positivity . . . For all booking/Features inquiries: JayVerzeBooking@Gail.com Or JaVerze@Gmail.com,1
A complete mobie Twitter client for your pone.,1
Je vous aime Justn ieber,1
a ust dont ge a fuck x,1
"Hey,B-) My Name i Noori am 14 years old :D",1
Im only concerned bout me&mine.9/21/11♥‿♥LoveOfyLife-Shae♡@092111_ILuvU2 #Autumn=myideordie ❤ Tee-jayFavorite TyreeTWINN,1
ranqulisiiiima!!!,1
"Travel, my love,my life, let' go!",1
nl,1
My name is  nona I am a Muslim girl i love zay mlik 3,1
| Get to know me (; | Blew out the candle on October 10th | Born in Queens New York&Raised inATL.,1
I love music ! who i love? asme.,1
im not a hater because wht u got i hav butbeter!,1
,1
"Nothin is ipossible, the word itself says 'I'm possible'!",1
follow me and ill follow your ass back.hi.this is the stoy of b awkward girl named maxine.,1
2; GaSouthern;,1
,1
Like ThisPage . :),1
Den....Just Den. Followme & I'll ollow back,1
Procure ou Anuncie com rapidez no mais completo Guia Cmercial de Campinas e Região - http://t.co/OMo38YYxgb   ANÚCIOS GRÁTIS confira!,1
Our team of SEO Specialists are here o provide you the bes SEO services for the best results.,1
ust trust e!,1
"I Dont Need Your Pssy , Bitch Im On My wn Dick. ^__^",1
Thanks for Giing me a LooK :) If you are bred and blue check out my gift card coupon site. It would sure help me out! ;),1
,1
,1
"MAS VEM RACÁ, VEM PRA CÁ!",1
"Corinne Battle: Wife, moter, entrepreneur, owner and chief crafter of Bagalicious, an Etsy shop of handcrafted handbags & ccessories...AKA @ClearPointWeb",1
"a graphic designer, artist, cartoonist, blogger, nd poet. check my blogs out on my blogsite.#TeamScorpio #Teamfollowback, unfollowers will be unfollowed.",1
"MusicProducerMiracleMuzik ENT| Production Credits in Amsterdam & USA : Jmack , kevin white , raina & pharroah , lloyd de meza, ETC ,MiracleMuzik@Gmail.com",1
"Shedding light on the underdogs and big names in the industry rather dancers,singers,rappers,models,or designers..Follow Our Editor  @jst_ba",1
:) i fogot how much i liked uing this.,1
"I'm not better, I'm not orst.. I'M DIFFERENT!",1
"Got a lot of love for three bys named Dan Ferrari-Lane, Micky Parsons and Greg West ♥ follow if you are a GMD3eek... I follw back ♥",1
Im siple,1
"Normal person with dream! i want meet @justinbieber, he's my inspiratin of the day!",1
Dont ever lose hope! Ü have faith ..,1
LOVE ARMY IES.,1
,1
Introducing te only internet business evet in the world that runs the Internet Challenge where you could walk away with over $25K,1
Get perfect hotin service NOW.,1
No riss... o gain!!!,1
"Sharp, sensitiv, woman of the South. Married with ids.",1
,1
nl,1
,1
